iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_religion,layer_interdependences_neighbours,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_religion,layer_polarisations_neighbours,layer_polarisations_cultural
0,-0.03529213479960368,10,24,28,0.2876820724517809,0.20000000000000062,0.20000000000000057,0.20000000000000054,0.20000000000000065,0.20000000000000062,0.17006045281897356,0.17006045281897356,0.17006045281897356,0.17006045281897356,0.17006045281897356
1,0.23359492683144745,13,43,54,0.39304258810960724,0.2000000000000007,0.20000000000000065,0.20000000000000065,0.20000000000000073,0.2000000000000007,0.2847891191936299,0.2847891191936299,0.2847891191936299,0.2847891191936299,0.2847891191936299
2,-0.010198564187350326,20,59,73,0.6931471805599453,0.1999999999999993,0.19999999999999934,0.19999999999999937,0.19999999999999937,0.1999999999999994,0.3550917676971529,0.3550917676971529,0.3550917676971529,0.3550917676971529,0.3550917676971529
3,0.19222715376795618,21,73,91,0.7444404749474959,0.2000000000000001,0.2000000000000001,0.20000000000000004,0.19999999999999998,0.20000000000000007,0.3914959490746295,0.3914959490746295,0.3914959490746295,0.3914959490746295,0.3914959490746295
4,-0.09012474877808441,21,88,109,0.7444404749474959,0.19999999999999993,0.19999999999999993,0.1999999999999999,0.19999999999999987,0.19999999999999998,0.4257076792695603,0.4257076792695603,0.4257076792695603,0.4257076792695603,0.4257076792695603
5,0.12948496722269548,22,101,126,0.7985076962177717,0.20000000000000065,0.20000000000000065,0.20000000000000062,0.20000000000000065,0.2000000000000007,0.4559444883603149,0.4559444883603149,0.4559444883603149,0.4559444883603149,0.4559444883603149
6,-0.16932506975662998,22,117,143,0.7985076962177717,0.20000000000000037,0.20000000000000043,0.20000000000000046,0.20000000000000034,0.20000000000000046,0.4563926170083619,0.4563926170083619,0.4563926170083619,0.4563926170083619,0.4563926170083619
7,0.06810017701359523,23,128,160,0.8556661100577202,0.20000000000000093,0.20000000000000095,0.20000000000000087,0.20000000000000087,0.20000000000000087,0.42437744268751226,0.42437744268751226,0.42437744268751226,0.42437744268751226,0.42437744268751226
8,-0.07093974714633053,25,141,175,0.9808292530117263,0.19999999999999968,0.19999999999999968,0.19999999999999965,0.1999999999999997,0.19999999999999968,0.42208571757972746,0.42208571757972746,0.42208571757972746,0.42208571757972746,0.42208571757972746
9,0.07633772909991032,26,149,187,1.0498221244986778,0.19999999999999948,0.19999999999999954,0.19999999999999948,0.19999999999999954,0.19999999999999965,0.38361945719162804,0.38361945719162804,0.38361945719162804,0.38361945719162804,0.38361945719162804
10,0.08117359171866878,27,157,199,1.1239300966523997,0.19999999999999968,0.19999999999999965,0.19999999999999976,0.19999999999999965,0.19999999999999976,0.3760200520477637,0.3760200520477637,0.3760200520477637,0.3760200520477637,0.3760200520477637
11,0.1670133944995657,27,165,212,1.1239300966523997,0.20000000000000073,0.2000000000000008,0.20000000000000084,0.2000000000000008,0.20000000000000076,0.35521266010339725,0.35521266010339725,0.35521266010339725,0.35521266010339725,0.35521266010339725
12,0.08208227653551685,29,172,223,1.2909841813155658,0.19999999999999868,0.19999999999999873,0.19999999999999885,0.19999999999999876,0.19999999999999885,0.3463825059351538,0.3463825059351538,0.3463825059351538,0.3463825059351538,0.3463825059351538
13,0.2169137588179527,29,182,234,1.2909841813155658,0.1999999999999996,0.1999999999999996,0.1999999999999997,0.1999999999999996,0.19999999999999968,0.36104738280205523,0.36104738280205523,0.36104738280205523,0.36104738280205523,0.36104738280205523
14,0.16731240609315776,30,189,243,1.3862943611198906,0.20000000000000062,0.20000000000000068,0.20000000000000062,0.20000000000000076,0.20000000000000062,0.37318082743314235,0.37318082743314235,0.37318082743314235,0.37318082743314235,0.37318082743314235
15,0.23959459032075178,32,195,250,1.6094379124341005,0.20000000000000023,0.20000000000000026,0.20000000000000023,0.20000000000000023,0.2000000000000003,0.36389380082690687,0.36389380082690687,0.36389380082690687,0.36389380082690687,0.36389380082690687
16,0.2553758724905702,33,201,256,1.7429693050586228,0.19999999999999987,0.19999999999999987,0.1999999999999999,0.1999999999999999,0.19999999999999987,0.3309661867176687,0.3309661867176687,0.3309661867176687,0.3309661867176687,0.3309661867176687
17,0.27592244910929553,33,205,263,1.7429693050586228,0.20000000000000062,0.2000000000000006,0.20000000000000054,0.20000000000000054,0.2000000000000005,0.3192678161429596,0.3192678161429596,0.3192678161429596,0.3192678161429596,0.3192678161429596
18,0.3586187548118423,34,210,268,1.8971199848858813,0.20000000000000007,0.20000000000000004,0.20000000000000004,0.20000000000000007,0.2000000000000001,0.32930500339924973,0.32930500339924973,0.32930500339924973,0.32930500339924973,0.32930500339924973
19,0.37787190086959804,35,213,272,2.0794415416798357,0.19999999999999962,0.1999999999999995,0.19999999999999962,0.19999999999999962,0.19999999999999957,0.36771688499260635,0.36771688499260635,0.36771688499260635,0.36771688499260635,0.36771688499260635
20,0.3359672405680605,36,217,275,2.302585092994046,0.20000000000000026,0.20000000000000023,0.20000000000000034,0.20000000000000034,0.2000000000000003,0.38034486956685193,0.38034486956685193,0.38034486956685193,0.38034486956685193,0.38034486956685193
21,0.35024611481145207,37,219,278,2.590267165445827,0.20000000000000112,0.20000000000000115,0.2000000000000012,0.2000000000000013,0.20000000000000115,0.3821037958101667,0.3821037958101667,0.3821037958101667,0.3821037958101667,0.3821037958101667
22,0.38216329660687715,38,221,280,2.99573227355399,0.20000000000000015,0.2000000000000001,0.2000000000000001,0.20000000000000018,0.2000000000000001,0.42015040654487495,0.42015040654487495,0.42015040654487495,0.42015040654487495,0.42015040654487495
23,0.3923704557066565,39,222,281,3.6888794541139354,0.20000000000000034,0.2000000000000004,0.2000000000000004,0.2000000000000004,0.20000000000000023,0.461971494219757,0.461971494219757,0.461971494219757,0.461971494219757,0.461971494219757
24,0.3865095294292776,40,222,281,0.0,0.20000000000000037,0.20000000000000026,0.20000000000000032,0.20000000000000037,0.20000000000000032,0.4707921682531325,0.4707921682531325,0.4707921682531325,0.4707921682531325,0.4707921682531325
25,0.36489512516847117,40,222,281,0.0,0.2000000000000006,0.20000000000000048,0.2000000000000005,0.20000000000000057,0.2000000000000004,0.4223572255134305,0.4223572255134305,0.4223572255134305,0.4223572255134305,0.4223572255134305
26,0.31287931870486424,40,222,281,0.0,0.19999999999999973,0.19999999999999973,0.1999999999999998,0.19999999999999976,0.19999999999999965,0.379944442398972,0.379944442398972,0.379944442398972,0.379944442398972,0.379944442398972
27,0.20826667521189907,40,222,281,0.0,0.20000000000000048,0.2000000000000006,0.20000000000000057,0.20000000000000057,0.2000000000000005,0.34860573135415684,0.34860573135415684,0.34860573135415684,0.34860573135415684,0.34860573135415684
28,0.17166231887908417,40,222,281,0.0,0.19999999999999996,0.1999999999999999,0.19999999999999987,0.1999999999999999,0.19999999999999984,0.3553101523018351,0.3553101523018351,0.3553101523018351,0.3553101523018351,0.3553101523018351
29,0.13476011803589594,40,222,281,0.0,0.20000000000000037,0.2000000000000003,0.20000000000000037,0.20000000000000037,0.20000000000000023,0.34226484347058395,0.34226484347058395,0.34226484347058395,0.34226484347058395,0.34226484347058395
30,0.07459798657612546,40,222,281,0.0,0.20000000000000004,0.20000000000000012,0.20000000000000007,0.20000000000000015,0.19999999999999996,0.3098220939296799,0.3098220939296799,0.3098220939296799,0.3098220939296799,0.3098220939296799
31,-0.007014986742699797,40,222,281,0.0,0.19999999999999885,0.19999999999999898,0.19999999999999896,0.19999999999999912,0.19999999999999898,0.3090963860992454,0.3090963860992454,0.3090963860992454,0.3090963860992454,0.3090963860992454
32,-0.06801040084352025,40,222,281,0.0,0.19999999999999932,0.19999999999999932,0.19999999999999937,0.19999999999999934,0.19999999999999937,0.2781309430348771,0.2781309430348771,0.2781309430348771,0.2781309430348771,0.2781309430348771
33,-0.1279617161558429,40,222,281,0.0,0.19999999999999837,0.19999999999999848,0.1999999999999985,0.19999999999999854,0.1999999999999986,0.29558174321359443,0.29558174321359443,0.29558174321359443,0.29558174321359443,0.29558174321359443
34,-0.20331438639276556,40,222,281,0.0,0.19999999999999918,0.19999999999999926,0.19999999999999934,0.19999999999999934,0.1999999999999994,0.28670590043269173,0.28670590043269173,0.28670590043269173,0.28670590043269173,0.28670590043269173
35,-0.24252665302913873,40,222,281,0.0,0.19999999999999918,0.19999999999999912,0.19999999999999923,0.19999999999999915,0.1999999999999991,0.30390073834810594,0.30390073834810594,0.30390073834810594,0.30390073834810594,0.30390073834810594
36,-0.26602033175440587,40,222,281,0.0,0.19999999999999976,0.19999999999999987,0.1999999999999998,0.1999999999999999,0.19999999999999987,0.342460878197056,0.342460878197056,0.342460878197056,0.342460878197056,0.342460878197056
37,-0.22263029219365413,40,222,281,0.0,0.19999999999999973,0.1999999999999997,0.19999999999999982,0.19999999999999987,0.1999999999999998,0.3415385739521404,0.3415385739521404,0.3415385739521404,0.3415385739521404,0.3415385739521404
