iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_religion,layer_interdependences_neighbours,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_religion,layer_polarisations_neighbours,layer_polarisations_cultural
0,-0.22362716842056557,0,20,37,0.0,0.2000000000000004,0.2000000000000005,0.20000000000000043,0.20000000000000048,0.20000000000000046,0.0872974370934372,0.0872974370934372,0.0872974370934372,0.0872974370934372,0.0872974370934372
1,0.2079015481171254,0,53,76,0.0,0.1999999999999999,0.19999999999999973,0.19999999999999984,0.1999999999999999,0.19999999999999982,0.1147660905827415,0.1147660905827415,0.1147660905827415,0.1147660905827415,0.1147660905827415
2,-0.1716762413210533,1,81,112,0.025317807984289876,0.20000000000000026,0.2000000000000002,0.20000000000000023,0.2000000000000003,0.2000000000000003,0.16627305371408352,0.16627305371408352,0.16627305371408352,0.16627305371408352,0.16627305371408352
3,0.2203234768066727,2,114,147,0.051293294387550536,0.19999999999999968,0.19999999999999965,0.19999999999999965,0.19999999999999968,0.19999999999999965,0.21142558215683835,0.21142558215683835,0.21142558215683835,0.21142558215683835,0.21142558215683835
4,-0.16382008602919332,2,144,184,0.051293294387550536,0.20000000000000012,0.20000000000000004,0.20000000000000015,0.20000000000000004,0.20000000000000012,0.24552653795495055,0.24552653795495055,0.24552653795495055,0.24552653795495055,0.24552653795495055
5,0.2119347552671988,3,180,221,0.07796154146971185,0.19999999999999976,0.19999999999999976,0.1999999999999997,0.1999999999999998,0.19999999999999976,0.30037533429565155,0.30037533429565155,0.30037533429565155,0.30037533429565155,0.30037533429565155
6,-0.09377996707335864,3,212,257,0.07796154146971185,0.20000000000000012,0.2000000000000001,0.20000000000000018,0.2000000000000001,0.2000000000000001,0.3272852578217932,0.3272852578217932,0.3272852578217932,0.3272852578217932,0.3272852578217932
7,0.1805545144835174,4,244,292,0.10536051565782631,0.2000000000000004,0.20000000000000034,0.20000000000000043,0.20000000000000032,0.20000000000000043,0.333485228106057,0.333485228106057,0.333485228106057,0.333485228106057,0.333485228106057
8,-0.061545337096645,4,274,328,0.10536051565782631,0.20000000000000034,0.20000000000000034,0.20000000000000034,0.20000000000000037,0.20000000000000037,0.3754925350004275,0.3754925350004275,0.3754925350004275,0.3754925350004275,0.3754925350004275
9,0.18692378110028757,5,306,361,0.13353139262452263,0.1999999999999997,0.1999999999999997,0.19999999999999973,0.1999999999999997,0.1999999999999997,0.4581157703429071,0.4581157703429071,0.4581157703429071,0.4581157703429071,0.4581157703429071
10,-0.013993882157106594,7,337,394,0.19237189264745608,0.19999999999999976,0.19999999999999976,0.19999999999999976,0.19999999999999984,0.19999999999999982,0.47973242924687937,0.47973242924687937,0.47973242924687937,0.47973242924687937,0.47973242924687937
11,0.19266976245348433,8,367,425,0.22314355131420976,0.20000000000000018,0.2000000000000002,0.2000000000000001,0.20000000000000015,0.2000000000000002,0.47584072518426074,0.47584072518426074,0.47584072518426074,0.47584072518426074,0.47584072518426074
12,0.06068509048006918,9,396,456,0.2548922496287901,0.20000000000000015,0.20000000000000012,0.2000000000000001,0.2000000000000002,0.2000000000000001,0.4839302626686285,0.4839302626686285,0.4839302626686285,0.4839302626686285,0.4839302626686285
13,0.18890542155879586,11,422,485,0.3215836241274623,0.1999999999999998,0.19999999999999984,0.19999999999999973,0.19999999999999976,0.19999999999999976,0.4581494383117611,0.4581494383117611,0.4581494383117611,0.4581494383117611,0.4581494383117611
14,0.057270035689026486,13,447,512,0.39304258810960724,0.20000000000000004,0.2000000000000001,0.20000000000000012,0.20000000000000004,0.2000000000000001,0.46924597656924866,0.46924597656924866,0.46924597656924866,0.46924597656924866,0.46924597656924866
15,0.053754557784537915,19,467,533,0.6443570163905132,0.2000000000000001,0.20000000000000007,0.20000000000000004,0.2000000000000001,0.20000000000000007,0.4797390781274664,0.4797390781274664,0.4797390781274664,0.4797390781274664,0.4797390781274664
16,0.12291313512566307,19,485,552,0.6443570163905132,0.19999999999999987,0.19999999999999993,0.19999999999999982,0.19999999999999996,0.19999999999999996,0.46830513762745835,0.46830513762745835,0.46830513762745835,0.46830513762745835,0.46830513762745835
17,0.00767471578943231,24,499,566,0.916290731874155,0.19999999999999996,0.19999999999999996,0.19999999999999987,0.19999999999999996,0.1999999999999999,0.4359501137963761,0.4359501137963761,0.4359501137963761,0.4359501137963761,0.4359501137963761
18,0.08133984572695062,26,512,579,1.0498221244986778,0.19999999999999998,0.2,0.19999999999999993,0.19999999999999993,0.19999999999999996,0.44097449876923267,0.44097449876923267,0.44097449876923267,0.44097449876923267,0.44097449876923267
19,-0.007631703087088525,28,521,589,1.203972804325936,0.19999999999999982,0.19999999999999973,0.19999999999999993,0.19999999999999987,0.19999999999999976,0.43097998284558414,0.43097998284558414,0.43097998284558414,0.43097998284558414,0.43097998284558414
20,0.016670944072082063,29,530,600,1.2909841813155658,0.19999999999999993,0.19999999999999987,0.19999999999999996,0.1999999999999999,0.19999999999999993,0.4167633025715249,0.4167633025715249,0.4167633025715249,0.4167633025715249,0.4167633025715249
21,-0.0481565553462414,30,537,608,1.3862943611198906,0.20000000000000012,0.20000000000000007,0.20000000000000007,0.20000000000000015,0.20000000000000004,0.4035567650732244,0.4035567650732244,0.4035567650732244,0.4035567650732244,0.4035567650732244
